
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	9	
BIOLOGICAL	1	
CONTAMINATION	9	
DROUGHT	50	
EARTHQUAKE	2	
EPIDEMIC	20	
EXPLOSION	30	
FIRE	306	
FLASH FLOOD	21	
FLOOD	565	
FOREST FIRE	616	
FROST	14	
HAILSTORM	266	
LANDSLIDE	67	
LEAK	14	
LIQUEFACTION	1	
OTHER	24	
PLAGUE	3	
RAINS	40	
SNOWSTORM	156	
STORM	36	
STRUCTURAL COLLAPSE	1	
THUNDERSTORM	3	
TORNADO	2	
WINDSTORM	27	
TOTAL	2283	

