
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	1013	
ALLUVION	1	
CLOUD BURST	1	
COLD	1	
CYCLONE	66	
DROUGHT	237	
EARTHQUAKE	7	
ELECTRIC STORM	302	
EPIDEMIC	170	
ERUPTION	1	
EXPLOSION	125	
FIRE	5942	
FLASH FLOOD	110	
FLOOD	3201	
FOREST FIRE	811	
FROST	1	
HAILSTORM	4	
HEAT WAVE	2	
HURRICANE	1	
LANDSLIDE	43	
LEAK	10	
LIGHTING	307	
LIQUEFACTION	3	
OTHER	150	
PANIC	7	
RAINS	3104	
SEAEROSION	4	
SPATE	6	
STORM	2	
STRONG WIND	14	
STRUCTURE	405	
SURGE	5	
TIDAL WAVE	5	
TSUNAMI	86	
TOTAL	16147	

