
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	1708	
AVALANCHE	116	
BIOLOGICAL	18	
BOAT CAPSIZE	154	
COLD WAVE	647	
DROUGHT	160	
EARTHQUAKE	227	
EPIDEMIC	3516	
EXPLOSION	47	
FAMINE	27	
FIRE	6004	
FLOOD	3953	
FOREST FIRE	224	
FROST	6	
HAIL STORM	763	
HEAT WAVE	49	
LANDSLIDE	3208	
LEAK	1	
OTHER	97	
PANIC	6	
PLAGUE	326	
POLLUTION	12	
RAINS	256	
SEDIMENTATION	1	
SNOW STORM	194	
STORM	123	
STRONG WIND	508	
STRUCT.COLLAPSE	453	
THUNDERSTORM	1453	
TOTAL	24257	

