
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
AIRCRAFT DISASTER/MISSES	2	
BOAT CAPSIZED	27	
CHEMICAL SPILLS	2	
CYCLONES	76	
DROUGHT	17	
EARTH TREMORS	4	
EPIDEMICS	4	
EXPLOSIONS	22	
FIRE HAZARDS	428	
FLASH FLOODS	573	
GAS SPILLS	5	
HEAT WAVE	1	
INDUSTRIAL POLLUTION	4	
LANDSLIDES	12	
OIL SPILLS	9	
PEST	1	
PORT AREA HAZARD	4	
ROAD ACCIDENTS	869	
SOCIAL UNREST	2	
STORM SURGE	1	
TERRORIST ATTACK	1	
TIDAL WAVES	9	
TORRENTIAL RAINS	1545	
TSUNAMI	3	
TOTAL	3621	

