
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	42	
COLD WAVE	9	
DROUGHT	165	
ELEPHANT ATTACK	5	
EPIDEMIC	100	
FIRE	1659	
FLASH FLOOD	32	
FLOOD	1286	
FOREST FIRE	12	
OTHER	11	
PANIC	3	
PLAGUE	64	
RAINS	62	
STORM	741	
THUNDERSTORM	10	
WIND STORM	14	
TOTAL	4215	

