
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	546	
ALLUVION	36	
AVALANCHE	2	
BIOLOGICAL	725	
COASTLINE	9	
DROUGHT	3971	
EARTHQUAKE	687	
ELECTRICSTORM	214	
EPIDEMIC	2553	
ERUPTION	171	
EXPLOSION	1126	
FIRE	1948	
FLOOD	8105	
FOG	33	
FORESTFIRE	1989	
FROST	2415	
HAILSTORM	595	
Hambruna	44	
HEATWAVE	854	
Hundimiento	176	
Intoxicación	354	
LANDSLIDE	1814	
LEAK	452	
LIQUEFACTION	12	
Onda fría	1215	
OTHER	15	
PANIC	58	
PLAGUE	951	
POLLUTION	1387	
Racionamiento	377	
RAIN	3590	
SEDIMENTATION	1	
SNOWSTORM	1328	
SPATE	384	
STORM	1928	
STRONGWIND	1373	
STRUCTURE	258	
SURGE	642	
TORNADO	16	
TSUNAMI	78	
TOTAL	42432	

