
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	17	
ALLUVION	43	
AVALANCHE	1	
BIOLOGICAL	11	
Desbordamiento	28	
DROUGHT	586	
EARTHQUAKE	26	
ELECTRICSTORM	27	
EPIDEMIC	242	
EXPLOSION	30	
FIRE	140	
FLOOD	2309	
FLUJOLODO	9	
FORESTFIRE	211	
FROST	216	
HAILSTORM	493	
HEATWAVE	5	
LANDSLIDE	423	
LEAK	2	
OTHER	5	
PANIC	1	
PLAGUE	26	
POLLUTION	46	
RAIN	81	
SNOWSTORM	36	
SPATE	309	
STORM	8	
STRONGWIND	115	
STRUCTURE	49	
TORNADO	3	
TOTAL	5498	

