
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	387	
ANIMAL ATTACK	10905	
BOAT CAPSIZE	21	
Chemical	7	
coastal erosion	10	
COASTLINE	83	
Collapse of building	6	
Collapse of Gabage Fill	1	
Collapse of Mine	1	
CUTTING FAILURE	525	
CYCLONE	123	
CYCLONE & FLOOD	28	
DROUGHT	3068	
DROWNING	201	
EARTH SLIP	80	
Electrocution	10	
EPIDEMIC	88411	
EXPLOSION	2	
FIRE	3834	
FLASH FLOOD	80	
FLOOD	8219	
FOREST FIRE	241	
FROST	3	
GALE	550	
GROUND VIBRATIO	83	
HAILSTORM	20	
HEAVY RAINS	2728	
LANDSLIDE	2256	
LAND SUBSIDENCE	187	
LEAK OR SPILL	16	
LIGHTNING	896	
PLAGUE	423	
RETAINING WF	4	
ROCK FALL	121	
SEDIMENTATION	9	
SNAKE BITE	125	
STORM	3	
STRONG WIND	6030	
STRUCTURE	28	
Subsidence	3	
SURGE	33	
TIDAL WAVE	10	
TORNADO	15	
TREE FALLEN	182	
TSUNAMI	88	
URBAN FLOOD	45	
WALL COLLAPSE	33	
TOTAL	130134	

