Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1950	1	524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	2	3	52	30	0	806	0	5000	0	9	0	0	0	0	0	0	0	
2004	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	1	3	52	30	0	805	0	9	0	0	0	0	0	0	0	0	0	
