
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
Cold Wave	8	
Cyclone	61	
Flash flood	106	
Flood	716	
Hailstorm	307	
Landslide	60	
Rain	18	
Storm	185	
Surge	6	
Typhoon	3	
TOTAL	1470	

