
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
Acid rain	2	
Air pollution	1	
Avalanche	225	
Aviation accident	15	
collapse	14	
Draught	45	
Drowning	35	
Earthquake	246	
Explotion	6	
Famine	2	
Fire	398	
Flood	249	
Fog	35	
Forest fire	2085	
Frost	147	
Geomedical	2	
Hail	397	
Heavy rain	59	
Industrial explosions	4	
Landslide	979	
Maritime disaster	30	
Mining accidents	39	
Mudslide	1	
Nuclear accidents	16	
Other	32	
poisoning	15	
Rockslide	320	
Severe colds	1	
Snow	46	
Storm	691	
Stuck	7	
Thunder	44	
Tornado	1	
Traffic accident	279	
Train accident	18	
TOTAL	6486	

