
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	2	
BOAT CAPSIZE	160	
COASTLINE	15	
CYCLONE	542	
DROUGHT	232	
EARTHQUAKE	6	
ELECTRIC STORM	2507	
EPIDEMIC	1819	
FIRE	5202	
FLOOD	1311	
FROST	6	
GALE	160	
HAILSTORM	188	
HEAT WAVE	317	
LANDSLIDE	42	
LEAK	1	
OTHER	13	
POLLUTION	1	
RAINS	239	
SNOWSTORM	2	
STORM	165	
STRONG WIND	6	
TOTAL	12936	

