
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	29	
AVALANCHE	2	
COLD WAVE	9	
DROUGHT	92	
EARTHQUAKE	38	
EPIDEMIC	10	
FIRE	21	
FLASH FLOOD	52	
FLOOD	100	
FOREST FIRE	26	
FROST	94	
HEAT WAVE	12	
LANDSLIDE	8	
LIQUEFACTION	2	
PLAGUE	29	
RAINS	19	
SANDSTORM	3	
SNOWSTORM	164	
STRUCTURAL COLLAPSE	7	
TOTAL	717	

