
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	24	
ALLUVION	3	
AVALANCHE	1	
BIOLOGICAL	10	
Deforestación	99	
DROUGHT	197	
EARTHQUAKE	608	
ELECTRICSTORM	180	
EPIDEMIC	635	
ERUPTION	148	
EXPLOSION	2	
FIRE	452	
FLOOD	2192	
Flujo de escombros	2	
FORESTFIRE	797	
FROST	85	
HAILSTORM	12	
HEATWAVE	7	
Hundimiento	191	
HURRICANE	5	
Lahar	20	
LANDSLIDE	1162	
LEAK	5	
OTHER	5	
PANIC	1	
PLAGUE	296	
POLLUTION	254	
RAIN	100	
SEDIMENTATION	12	
SPATE	173	
STORM	224	
STRONGWIND	273	
STRUCTURE	174	
SURGE	116	
TORNADO	1	
TSUNAMI	11	
TOTAL	8477	

