
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
2	87	
birds	1	
BUSH FIRE	3	
Domestic Fire	58	
Erossion	19	
Falshflood	2	
fash floods	1	
FIRE	2	
Fire Outbreak	5	
Fire Out break	52	
Fire Outbreak(shop)	1	
Flashflood	2267	
FLASH FLOOD	306	
Flash Floods	24	
flash flood, windstrom	1	
Flash Food	1	
Flashfoods	2	
Flash Foods	1	
FLOOD	50	
floods	9	
Flsah Flood	1	
hippos	7	
River Flood	1	
Riverine flood	5	
RiverineFlood	1	
Riverinflood	1	
Thunder	6	
Thunder Storm	1	
Tondering	1	
W	1	
widstorm	1	
Windom flood	5	
windstond	65	
Wind Storm	114	
WINDSTORM	50	
windstorm with heavy rain	1	
windstrm	1	
Windstrom	98	
Wind Strom	3	
windtorm	1	
Winstrom	1	
Wndstrom	2	
	158	
TOTAL	3417	

