
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1999	1	833	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	
2001	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	1	13	0	6	0	0	0	39	0	0	0	0	0	0	0	0	0	
2007	7	32	3	1	0	0	35	11	0	3	0	0	0	0	0	0	0	
2008	7	7	24	0	0	0	31	0	0	24	0	0	0	0	0	0	0	
2009	9	23	11	0	0	0	23	27	0	12	0	0	0	0	0	0	0	
2010	9	195	130	0	0	0	10	1	0	1	0	0	0	0	0	0	0	
2011	13	172	58	1370	0	0	26	839	0	954	0	0	0	0	0	0	0	
2012	6	218	195	212	0	0	0	113	0	154	0	0	0	0	0	0	0	
2013	1	10	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	2	8	4	18	0	0	0	19	0	30	0	0	0	0	0	0	0	
2016	1	3	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	
2018	1	227	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	59	1761	488	1607			128	1164		1178								

