Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2010	11	21	0	0	178	0	0	2975	0	0	0	0	0	0	0	0	0	
2011	11	1	0	0	120	0	0	3222	0	0	0	0	1	0	0	2	0	
2013	3	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	
2014	2	0	0	0	0	50	0	320	0	0	0	0	0	0	0	0	0	
2018	1	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	
