
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
Accidente de transporte	30	
BIOLOGICAL	91	
COASTLINE	6	
DROUGHT	118	
ELECTRICSTORM	5	
EPIDEMIC	82	
EXPLOSION	140	
FIRE	1232	
FLOOD	686	
FORESTFIRE	1	
FROST	35	
HAILSTORM	22	
HEATWAVE	17	
Incendio de campo	33	
Incendio de interfase	23	
Incendios forestales	83	
Incendio urbano	305	
Inundación gradual	128	
Inundación repentina	48	
LEAK	25	
Ola de frío	37	
OTHER	61	
POLLUTION	230	
Siniestros de tránsito	86	
STORM	1161	
STRONGWIND	52	
STRUCTURE	113	
TORNADO	27	
TOTAL	4877	

