
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
AC - Accident	13	
CE - Complex Emergency	8	
CW - Cold Wave	4	
DR - Drought	26	
EP - Epidemic	38	
EQ - Earthquake	204	
FL - Flood	128	
FR - Fire	4	
LS - Landslide	48	
OT - Other	3	
SS - Storm Surge	13	
ST - Severe Local Storm	37	
TC - Tropical Cyclone	465	
TD - Technical Disaster	8	
TS - Tsunami	221	
VO - Volcano	86	
WF - Wild Fires	3	
TOTAL	1309	

