
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	19	
BIOLOGICAL	3	
COASTAL EROSION	20	
DROUGHT	10	
EARTHQUAKE	3	
EPIDEMIC	4	
FIRE	21	
FLOOD	30	
HURRICANE	91	
LANDSLIDE	40	
OTHER	2	
RAINS	144	
STRUCTURAL COLLAPSE	2	
WINDSTORM	42	
TOTAL	431	

