
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	1	
BIOLOGICAL	1	
DROUGHT	112	
EARTHQUAKE	14	
ELECTRICSTORM	7	
EPIDEMIC	97	
ERUPTION	8	
EXPLOSION	16	
FIRE	116	
FLOOD	467	
FORESTFIRE	87	
FROST	1	
HAILSTORM	6	
HEATWAVE	1	
HURRICANE	4	
LANDSLIDE	47	
OTHER	45	
PLAGUE	23	
POLLUTION	58	
RAIN	54	
SPATE	83	
STORM	30	
STRONGWIND	48	
STRUCTURE	34	
SURGE	1	
TORNADO	28	
TSUNAMI	9	
TOTAL	1398	

