
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
Coastal Erosion	3	
Collapse of buildings	11	
Drowning	1	
Epidemics	11	
Fire	195	
Flood	136	
Forest fire	2	
Hurricane	40	
Landslide	6	
Lightning	2	
Ouragan	3	
Storm	4	
Thunderstorm	9	
Tornado	91	
TOTAL	514	

