
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	1825	
AVALANCHE	24	
DROUGHT	61	
DROWN	63	
EARTHQUAKE	5710	
EPIDEMIC	1	
EXPLOSION	201	
FIRE	1435	
FLASH FLOOD	1	
FLOOD	6579	
FOREST FIRE	84	
FROST	2	
GONU CYCLONE	3	
HAILSTORM	119	
LANDSLIDE	169	
LEAK	29	
LIQUEFACTION	1	
OTHER	263	
PLAGUE	1	
RAINS	1	
SNOWSTORM	152	
STORM	321	
STRONG WIND	2	
STRUCTURE	30	
THUNDER STORM	117	
TOTAL	17194	

