
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	706	
ALLUVION	2002	
AVALANCHE	69	
BIOLOGICAL	44	
COASTLINE	7	
DROUGHT	542	
EARTHQUAKE	1155	
ELECTRICSTORM	270	
EPIDEMIC	1488	
EPIZOOTIA	97	
EROSION	10	
ERUPTION	44	
EXPLOSION	272	
FIRE	1739	
FLOOD	3508	
FOG	85	
FORESTFIRE	236	
FROST	732	
HAILSTORM	238	
HEATWAVE	66	
INTOXICACION	120	
LANDSLIDE	1311	
LEAK	42	
OLA DE FRIO	119	
OTHER	299	
PANIC	4	
PLAGUE	663	
POLLUTION	1372	
RAIN	2222	
SEDIMENTATION	43	
SNOWSTORM	281	
SPATE	309	
STORM	207	
STRONGWIND	479	
STRUCTURE	895	
SURGE	423	
TOTAL	22099	

