
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	19	
ALLUVION	5	
AVALANCHE	2	
COASTLINE	2	
DROUGHT	160	
EARTHQUAKE	16	
ELECTRICSTORM	3	
EPIDEMIC	209	
EXPLOSION	43	
FIRE	522	
FLOOD	464	
FORESTFIRE	77	
HAILSTORM	10	
Intoxicación	16	
LANDSLIDE	34	
LEAK	12	
OTHER	17	
PLAGUE	183	
POLLUTION	40	
RAIN	99	
SEDIMENTATION	1	
SPATE	5	
STORM	23	
STRONGWIND	124	
STRUCTURE	17	
SURGE	9	
TOTAL	2112	

