
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	51	
AVALANCHE	25	
COLD WAVE	24	
CONTAMINATION	14	
CYCLONE	2	
DROUGHT	1	
EARTHQUAKE	555	
EPIDEMIC	81	
EXPLOSION	10	
FIRE	3202	
FLASH FLOOD	192	
FLOOD	924	
FOG	1	
FOREST FIRE	1927	
FROST	102	
HAILSTORM	125	
HEAT WAVE	22	
INTOXICATION	3	
LANDSLIDE	720	
LEAK	2	
LIQUEFACTION	7	
MUDSLIDE	6	
OTHER	36	
PANIC	1	
PLAGUE	36	
RAINS	227	
SEDIMENTATION	4	
SNOWSTORM	532	
STORM	212	
STRUCTURE	14	
SURGE	7	
THUNDERSTORM	92	
WINDSTORM	166	
TOTAL	9323	

