
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	37	
ALLUVION	1	
Corriente de resaca	787	
DROUGHT	439	
EARTHQUAKE	374	
ELECTRICSTORM	47	
EPIDEMIC	201	
ERUPTION	45	
EXPLOSION	76	
FIRE	903	
FLOOD	8699	
FORESTFIRE	86	
FROST	1	
HAILSTORM	2	
HEATWAVE	4	
LANDSLIDE	3901	
LEAK	134	
OTHER	2	
PANIC	3	
PLAGUE	72	
POLLUTION	17	
RAIN	1042	
SEDIMENTATION	3	
SPATE	250	
STORM	16	
STRONGWIND	1178	
STRUCTURE	57	
SURGE	62	
TORNADO	1	
TOTAL	18440	

